virus_id	accession_id	collection_date	country	pangolin_lineage
OEAV147165	EPI_ISL_417651	2020-03-18	Iceland	B.1
OEAV157599	EPI_ISL_430285	2020-03-01	USA	A.1
OEAV150575	EPI_ISL_418156	2020-03-16	United Kingdom	B.3.1
OEAV188624	EPI_ISL_467848	2020-03-13	USA	A
OEAV176330	EPI_ISL_454453	2020-03-05	Sweden	B.1.1
OEAV155815	EPI_ISL_436248	2020-03-19	Spain	A.5
OEAV207635	EPI_ISL_489649	2020-03-19	United Kingdom	B.1.93
OEAV167267	EPI_ISL_445321	2020-03-17	Chile	B.1.1
OEAV168155	EPI_ISL_447060	2020-03-18	USA	B.1
OEAV199632	EPI_ISL_479891	2020-03-16	Japan	B.1.1
OEAV199627	EPI_ISL_479886	2020-03-05	Japan	B
OEAV148400	EPI_ISL_425760	2020-03-13	United Kingdom	B.1
OEAV187699	EPI_ISL_464222	2020-03-01	United Kingdom	B.4
OEAV150245	EPI_ISL_418058	2020-03-13	USA	B.1
OEAV230749	EPI_ISL_506959	2020-03-09	South Korea	A
OEAV185258	EPI_ISL_464363	2020-03-03	United Kingdom	B.55
OEAV227627	EPI_ISL_500111	2020-03-07	United Kingdom	B.61
OEAV158036	EPI_ISL_430894	2020-03-12	USA	A.1
OEAV228720	EPI_ISL_500636	2020-03-12	Australia	B.1
OEAV159967	EPI_ISL_437890	2020-03-18	Greece	B.1
OEAV159752	EPI_ISL_437984	2020-03-11	Austria	B.1
OEAV197944	EPI_ISL_478541	2020-03-18	United Kingdom	B.39
OEAV175088	EPI_ISL_454050	2020-03-18	Portugal	B.1.1
OEAV153109	EPI_ISL_429312	2020-03-18	Denmark	B.1.39
OEAV200571	EPI_ISL_480988	2020-03-15	Spain	B.1
OEAV188598	EPI_ISL_467822	2020-03-16	USA	B.1
OEAV149299	EPI_ISL_420572	2020-03-17	USA	B.1.319
OEAV155844	EPI_ISL_436277	2020-03-18	Spain	B.1
OEAV160378	EPI_ISL_444892	2020-03-14	Denmark	B.1.39
OEAV172536	EPI_ISL_450541	2020-03-14	USA	B.1
OEAV197218	EPI_ISL_477615	2020-03-19	Hungary	B.1
OEAV233875	EPI_ISL_508617	2020-03-18	Spain	B.1
OEAV195188	EPI_ISL_476908	2020-03-13	USA	B
OEAV179492	EPI_ISL_457808	2020-03-11	USA	B.1
OEAV194611	EPI_ISL_475551	2020-03-02	Sweden	B.4
OEAV154529	EPI_ISL_428476	2020-01-28	China	A
OEAV185894	EPI_ISL_464999	2020-03-13	United Kingdom	B.1.13
OEAV183627	EPI_ISL_460074	2020-03-14	USA	B.1.1
OEAV154907	EPI_ISL_430443	2020-01-28	Malaysia	B
OEAV146880	EPI_ISL_418815	2020-02-09	Hong Kong	B.43
OEAV167535	EPI_ISL_447836	2020-03-16	Greece	A.5
OEAV199803	EPI_ISL_480059	2020-03-05	Japan	A.16
OEAV149890	EPI_ISL_417151	2020-02-29	USA	A.1
OEAV142854	EPI_ISL_415505	2020-03-11	Netherlands	B.55
OEAV193809	EPI_ISL_474969	2020-03-15	Israel	B.11
OEAV142809	EPI_ISL_416624	2020-02-17	Japan	B.5
OEAV150505	EPI_ISL_418090	2020-03-12	United Kingdom	B.1.1.1
OEAV146879	EPI_ISL_417199	2020-02-09	Hong Kong	B.43
OEAV227947	EPI_ISL_499772	2020-03-16	United Kingdom	B.1.1.369
OEAV226168	EPI_ISL_498542	2020-03-15	Australia	B.1.1
OEAV175273	EPI_ISL_454235	2020-03-19	Portugal	B.40
OEAV188102	EPI_ISL_467175	2020-03-13	Spain	A.2
OEAV233901	EPI_ISL_508643	2020-03-18	Spain	B.1.1
OEAV144299	EPI_ISL_418668	2020-03-09	United Kingdom	B.1.13
OEAV189332	EPI_ISL_468567	2020-03-13	USA	A.1
OEAV144061	EPI_ISL_418846	2020-03-12	Canada	B.1
OEAV228718	EPI_ISL_500634	2020-03-11	Australia	B.58
OEAV159501	EPI_ISL_437327	2020-03-19	Turkey	B.4
OEAV197312	EPI_ISL_477171	2020-03-16	Singapore	B.1
OEAV185685	EPI_ISL_464790	2020-03-11	United Kingdom	B.29
OEAV143381	EPI_ISL_419715	2020-03-18	Australia	A.1
OEAV175093	EPI_ISL_454055	2020-03-17	Portugal	B.1.91
OEAV179491	EPI_ISL_457807	2020-03-15	USA	A.3
OEAV187703	EPI_ISL_464226	2020-02-27	United Kingdom	B.1
OEAV185445	EPI_ISL_464550	2020-03-05	United Kingdom	B
OEAV149664	EPI_ISL_422982	2020-03-16	USA	A.1
OEAV147528	EPI_ISL_421670	2020-03-12	India	B.4
OEAV153188	EPI_ISL_429392	2020-03-09	Denmark	B.1
OEAV000468	EPI_ISL_414021	2020-02-27	Switzerland	B.1.1
OEAV204622	EPI_ISL_485870	2020-03-17	USA	B.6
OEAV155952	EPI_ISL_436385	2020-03-17	Spain	A.2
OEAV181951	EPI_ISL_459954	2020-03-16	Malaysia	B.6.6
OEAV147668	EPI_ISL_417530	2020-03-18	Luxembourg	B.1
OEAV192138	EPI_ISL_475768	2020-03-18	Austria	B
OEAV147094	EPI_ISL_417587	2020-03-17	Iceland	A.1
OEAV199578	EPI_ISL_479837	2020-03-06	Japan	B.12
OEAV147150	EPI_ISL_417638	2020-03-18	Iceland	B.1
OEAV148196	EPI_ISL_417994	2020-03-08	Portugal	B.1.1
OEAV188027	EPI_ISL_467177	2020-03-19	Spain	A.2
OEAV236188	EPI_ISL_511042	2020-03-16	Portugal	B.1.1.33
OEAV147553	EPI_ISL_418581	2020-03-08	Ireland	B.1.1
OEAV146234	EPI_ISL_425473	2020-03-14	United Kingdom	B.39
OEAV172219	EPI_ISL_450107	2020-03-12	USA	B.1
OEAV144518	EPI_ISL_420475	2020-03-19	United Kingdom	B.1.1
OEAV160557	EPI_ISL_440198	2020-03-17	United Kingdom	B.40
OEAV143121	EPI_ISL_416686	2020-03-14	USA	A.1
OEAV149851	EPI_ISL_417112	2020-03-02	USA	A.1
OEAV194610	EPI_ISL_475550	2020-03-09	Sweden	B.4
OEAV177496	EPI_ISL_455908	2020-03-09	Thailand	A.6
OEAV142454	EPI_ISL_414535	2020-03-06	Netherlands	B.1.1
OEAV143819	EPI_ISL_420337	2020-03-05	Belgium	B.1.1
OEAV228574	EPI_ISL_500519	2020-03-18	USA	B.1
OEAV000425	EPI_ISL_414442	2020-03-03	Netherlands	B.1.1.257
OEAV149594	EPI_ISL_426316	2020-03-15	USA	B.1
OEAV231260	EPI_ISL_507012	2020-03-11	Saudi Arabia	B.1.1
OEAV156075	EPI_ISL_430863	2020-03-09	Sweden	B.1
OEAV152404	EPI_ISL_427548	2020-03-14	USA	B.1
OEAV149846	EPI_ISL_417107	2020-03-05	USA	A.1
OEAV147645	EPI_ISL_419562	2020-02-29	Luxembourg	B.1
OEAV143692	EPI_ISL_419666	2020-03-11	Austria	B.1
OEAV177456	EPI_ISL_455869	2020-03-06	Sweden	B.1
OEAV186013	EPI_ISL_465118	2020-03-15	United Kingdom	B.1
OEAV176964	EPI_ISL_455353	2020-03-04	Spain	B.1
OEAV15068672	EPI_ISL_455509	2020-02-12	China	B
OEAV151295	EPI_ISL_427657	2020-03-10	Australia	B.1
OEAV149124	EPI_ISL_421685	2020-03-16	USA	B.1
OEAV152338	EPI_ISL_427575	2020-03-15	USA	B.1
OEAV185622	EPI_ISL_464727	2020-03-11	United Kingdom	B.1.1
OEAV188641	EPI_ISL_467865	2020-03-15	USA	B.1
OEAV190123	EPI_ISL_470654	2020-03-18	Brazil	B.1.1.28
OEAV159828	EPI_ISL_438065	2020-03-18	Austria	A.5
OEAV148046	EPI_ISL_422865	2020-03-02	Netherlands	B
OEAV147518	EPI_ISL_424361	2020-03-10	India	B.4
OEAV148401	EPI_ISL_425761	2020-03-13	United Kingdom	B.1.1.369
OEAV142806	EPI_ISL_416621	2020-02-17	Japan	B
OEAV10653360	EPI_ISL_419389	2020-03-14	USA	A.1
OEAV147490	EPI_ISL_417726	2020-03-09	Iceland	B.1.510
OEAV176337	EPI_ISL_454460	2020-03-05	Sweden	B.1.1
OEAV224841	EPI_ISL_498022	2020-03-15	South Korea	B.41
OEAV144301	EPI_ISL_420458	2020-03-11	United Kingdom	B.23
OEAV185192	EPI_ISL_464297	2020-03-03	United Kingdom	B.4
OEAV143997	EPI_ISL_420454	2020-03-04	Belgium	B.1.1
OEAV168124	EPI_ISL_447200	2020-03-18	USA	B.1
OEAV206277	EPI_ISL_488541	2020-03-18	United Kingdom	B.52
OEAV000245	EPI_ISL_402123	2019-12-24	China	B
OEAV172895	EPI_ISL_451370	2020-02-04	China	A
OEAV194367	EPI_ISL_475954	2020-03-14	Singapore	B
OEAV000353	EPI_ISL_414010	2020-02-26	United Kingdom	B.1
OEAV185307	EPI_ISL_464412	2020-02-29	United Kingdom	B.1.1.323
OEAV202709	EPI_ISL_483544	2020-03-17	Bahrain	B.4
OEAV231267	EPI_ISL_507019	2020-03-18	Saudi Arabia	B.1.1
OEAV204752	EPI_ISL_486105	2020-03-13	USA	A.1
OEAV177946	EPI_ISL_456155	2020-03-16	Colombia	B.1
OEAV149139	EPI_ISL_417472	2020-03-12	USA	B.1
OEAV168152	EPI_ISL_447228	2020-03-17	USA	B.1
OEAV143199	EPI_ISL_415598	2020-03-10	USA	A.1
OEAV000376	EPI_ISL_413593	2020-02-29	Luxembourg	B.1
OEAV000247	EPI_ISL_403930	2019-12-30	China	B
OEAV185988	EPI_ISL_465093	2020-03-14	United Kingdom	B
OEAV207018	EPI_ISL_489987	2020-03-08	Peru	B.1.205
OEAV175665	EPI_ISL_452702	2020-03-11	Spain	A.2
OEAV148808	EPI_ISL_420114	2020-03-09	Spain	A.2
OEAV185203	EPI_ISL_464308	2020-03-04	United Kingdom	B.1.1
OEAV204618	EPI_ISL_485866	2020-03-18	USA	B.1.1
OEAV205720	EPI_ISL_488281	2020-03-03	United Kingdom	B.1.1
OEAV142778	EPI_ISL_416593	2020-02-16	Japan	B
OEAV236714	EPI_ISL_511281	2020-03-18	Portugal	B.1.91
OEAV176577	EPI_ISL_455595	2020-03-06	Australia	B
OEAV185771	EPI_ISL_464876	2020-03-11	United Kingdom	B.39
OEAV183620	EPI_ISL_460067	2020-03-14	USA	B.1
OEAV150559	EPI_ISL_418140	2020-03-15	United Kingdom	B.3
OEAV175670	EPI_ISL_452697	2020-03-11	Spain	A.2
OEAV142648	EPI_ISL_416502	2020-02-26	France	B.1
OEAV177126	EPI_ISL_454935	2020-02-11	China	B
OEAV187650	EPI_ISL_464173	2020-02-15	United Kingdom	B.40
OEAV177453	EPI_ISL_455866	2020-03-06	Sweden	B.1.1
OEAV197490	EPI_ISL_478704	2020-03-13	Australia	B.1
OEAV185334	EPI_ISL_464439	2020-03-05	United Kingdom	B.1.1
OEAV147702	EPI_ISL_421741	2020-03-17	Luxembourg	B.1
OEAV184471	EPI_ISL_463989	2020-03-17	Canada	B.1
OEAV194695	EPI_ISL_475137	2020-03-16	Sweden	B.1
OEAV143343	EPI_ISL_417403	2020-03-14	Australia	B.6
OEAV188111	EPI_ISL_467169	2020-03-18	Spain	A.2
OEAV153225	EPI_ISL_429429	2020-03-10	Denmark	B.1
OEAV208978	EPI_ISL_491437	2020-03-07	Costa Rica	B.1
OEAV143430	EPI_ISL_419857	2020-03-18	Australia	A.1
OEAV185211	EPI_ISL_464316	2020-03-02	United Kingdom	B.1.1.257
OEAV143678	EPI_ISL_420539	2020-03-14	Australia	B.4.4
OEAV177488	EPI_ISL_455906	2020-03-08	Sweden	B.1
OEAV000205	EPI_ISL_411927	2020-01-28	Taiwan	B
OEAV159822	EPI_ISL_438059	2020-03-17	Austria	B.1.1.331
OEAV187741	EPI_ISL_464264	2020-03-02	United Kingdom	B.4
OEAV173838	EPI_ISL_452025	2020-03-12	Denmark	B.1.428
OEAV200590	EPI_ISL_480973	2020-03-16	Spain	A.2
OEAV144673	EPI_ISL_424091	2020-03-11	United Kingdom	B
OEAV148317	EPI_ISL_425677	2020-03-16	United Kingdom	B
OEAV146408	EPI_ISL_418287	2020-03-16	United Kingdom	B.40
